acl 2.2.53-1
python-flask-wtf 0.14.2-2
python-gobject 3.30.4-1
python-html5lib 1.0.1-3
python-htmlmin 0.1.12-1
python-idna 2.8-1
python-itsdangerous 1.1.0-1
python-jinja 2.10-2
python-mako 1.0.7-3
python-markupsafe 1.1.0-1
python-mimeparse 1.6.0-3
python-packaging 18.0-1
python-paramiko 2.4.2-1
python-passlib 1.7.1-2
python-pbr 5.1.1-1
python-ply 3.11-2
python-psutil 5.4.8-1
python-psycopg2 2.7.6.1-1
python-pyasn1 0.4.4-1
python-pycparser 2.19-1
python-pycryptodome 3.7.2-1
python-pycups 1.9.74-1
python-pycurl 7.43.0.2-2
python-pynacl 1.3.0-1
python-pyparsing 2.3.0-1
python-pyrsistent 0.14.8-1
python-pyte 0.8.0-2
python-pytz 2018.7-2
python-pywal 3.2.1-1
python-requests 2.20.1-1
python-setuptools 1:40.6.3-1
python-simplejson 3.16.1-1
python-six 1.12.0-1
python-speaklater 1.3-4
python-sqlalchemy 1.2.15-1
python-sqlparse 0.2.4-2
python-sshtunnel 0.1.4.r3.g66a923e-1
python-testtools 2.3.0-2
python-urllib3 1.24.1-1
python-urwid 2.0.1-2
python-wcwidth 0.1.7-3
python-webencodings 0.5.1-2
python-werkzeug 0.14.1-3
python-wtforms 2.2.1-4
python-yaml 3.13-2
python2 2.7.15-2
python2-appdirs 1.4.3-2
python2-cairo 1.18.0-1
python2-distutils-extra 2.39-3
python2-gobject2 2.28.7-2
python2-packaging 18.0-1
python2-pyparsing 2.3.0-1
python2-setuptools 1:40.6.3-1
python2-six 1.12.0-1
qpdf 8.2.1-1
qt5-base 5.12.0-1
qt5-declarative 5.12.0-1
qt5-graphicaleffects 5.12.0-1
qt5-quickcontrols2 5.12.0-1
qt5-svg 5.12.0-1
qt5-xmlpatterns 5.12.0-1
ranger 1.9.2-1
raptor 2.0.15-10
rasqal 1:0.9.33-2
re2 20181001-1
readline 7.0.005-1
redland 1:1.0.17-6
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rhash 1.3.6-1
ripgrep 0.10.0-2
rtkit 0.11+8+ge0a51fe-1
rubberband 1.8.2-1
run-parts 4.8.6-1
runc 1.0.0rc5+168+g079817cc-1
rust 1:1.31.1-1
s-nail 14.9.11-1
scrot 0.8.18-1
sdl2 2.0.9-1
sed 4.5-1
shaderc 2018.0-3
shadow 4.6-1
shared-mime-info 1.10-1
slang 2.3.2-1
smbclient 4.9.4-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2rc3-3
spirv-tools 2018.5-1
sqlite 3.26.0-1
squashfs-tools 4.3-8
startup-notification 0.12-6
stfl 0.24-4
sudo 1.8.26-2
sysfsutils 2.1.0-10
system-config-printer 1.5.11-3
systemd 239.370-1
systemd-sysvcompat 239.370-1
t1lib 5.1.2-7
taglib 1.11.1-2
talloc 2.1.14-1
tar 1.30-2
task 2.5.1-2
tdb 1.3.16-1
tevent 1:0.9.37-1
texinfo 6.5-2
texlive-bin 2018.48691-3
texlive-core 2018.49285-1
thefuck 3.28-1
thermald 1.8-1
thin-provisioning-tools 0.7.6-1
tmux 2.8-1
tree 1.8.0-1
tslib 1.18-1
ttf-dejavu 2.37-2
ttf-droid 20121017-6
ttf-fira-mono 2:3.206-3
ttf-fira-sans 1:4.301-1
ttf-inconsolata 1:2.0.0.1-3
ttf-lato 2.015-3
ttf-liberation 2.00.1-8
ttf-linux-libertine 5.3.0-4
twolame 0.3.13-8
tzdata 2018g-1
uchardet 0.0.6-2
ufw 0.35-5
unibilium 2.0.0-1
unrar 1:5.6.8-1
unzip 6.0-13
upower 0.99.9-1
usbmuxd 1.1.0+48+g1cc8b34-2
usbutils 010-1
util-linux 2.33-2
v4l-utils 1.16.2-1
vamp-plugin-sdk 2.7.1-2
vi 1:070224-3
vid.stab 1.1-2
vim-runtime 8.1.0570-1
vulkan-icd-loader 1.1.92+2999+abe5c2b3c-1
w3m 0.5.3.git20180125-1
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.17-1
webrtc-audio-processing 0.3.1-1
wget 1.20-1
which 2.21-3
wildmidi 0.4.3-1
wpa_supplicant 1:2.6-12
wxgtk-common 3.0.4-2
wxgtk2 3.0.4-2
wxgtk3 3.0.4-2
x264 2:155.r0a84d986-2
x265 2.9-1
xapian-core 1:1.4.9-1
xcape 1.2-3
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xcompmgr 1.1.7-3
xdg-utils 1.1.3-3
xdotool 3.20160805.1-2
xf86-input-libinput 0.28.1-1
xf86-input-synaptics 1.9.1-1
xf86-video-intel 1:2.99.917+855+g746ab3bb-1
xfsprogs 4.19.0-1
xkeyboard-config 2.25-1
xmlsec 1.2.27-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.4-5
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.3-1
xorg-server-common 1.20.3-1
xorg-setxkbmap 1.3.1-2
xorg-xauth 1.0.10-2
xorg-xdpyinfo 1.3.2-2
xorg-xinit 1.4.0-3
xorg-xkbcomp 1.4.2-1
xorg-xmodmap 1.0.9-2
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-2
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorg-xwininfo 1.1.4-1
xorgproto 2018.4-1
xssstate 1.1-3
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
youtube-dl 2018.12.17-1
youtube-viewer 1:3.3.4-2
zathura 0.4.1-1
zathura-djvu 0.2.8-1
zathura-pdf-mupdf 0.3.4-1
zeromq 4.3.0-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zsh 5.6.2-1
zsh-syntax-highlighting 0.6.0-1
zstd 1.3.7-1
zziplib 0.13.69-1
